LOCATION,ADDRESS,CITY,ZIP,X,Y
PEARL ST   LAUREL IN  FRANKLIN CO,,LAUREL,,,
"200 TROWBRIDGE RD  INDIANAPOLIS, MARION CO  INDIANA RR YARD",200 TROWBRIDGE RD,INDIANAPOLIS,,,
"487 CORN CREEK ROAD  BEDFORD, KY",487 CORN CREEK ROAD,BEDFORD,,,
"OHIO RIVER, RIVER MILE 475  CINCINNATI, OH",,CINCINNATI,,,
2403 US 31 LOT 51  PLYMOUTH  MARSHALL CO,2403 US 31,PLYMOUTH,,,
"MARION COUNTY  3041 E  BRADBURY AVE.  INDIANAPOLIS, IN",3041 E  BRADBURY AVE.,INDIANAPOLIS,,,
SR 75 AND WINTER KING DR  DANVILLE IN  HENDRICKS CO,SR 75 AND WINTER KING DR,DANVILLE,,,
FLOYD CO  NEW ALBANY  2710 GRANT LINE RD  50 YARDS IMPACTED ALONG RAIL SPUR,2710 GRANT LINE RD,NEW ALBANY,,,
MP 3.0,,,,,
"25915 SE FRONTAGE RD  CHANNAHON, IL  60410",25915 SE FRONTAGE RD,CHANNAHON,60410,,
"58 WESCOR DR  HAWESVILLE, KY  42348",58 WESCOR DR,HAWESVILLE,42348,,
"MILE POST B0.0 TO B 2.9  CHICAGO, IL",,CHICAGO,,,
1615 E EPLER AVE  INDIANAPOLIS,1615 E EPLER AVE,INDIANAPOLIS,,,
"MARION COUNTY  8 E MERIDIAN SCHOOL RD  INDIANAPOLIS, IN",8 E MERIDIAN SCHOOL RD,INDIANAPOLIS,,,
"LAKE COUNTY  RT 80 AND KENNEDY AVE  HAMMOND, IN",RT 80 AND KENNEDY AVE,HAMMOND,,,
NEAR INTERSECTION OF RABEN RD AND WHIPTERWILL RD,RABEN RD AND WHIPTERWILL RD,,,,
CARROLL CO  MONTICELLO  12188 N UPPER LAKESHORE DR,12188 N UPPER LAKESHORE DR,MONTICELLO,,,
"135TH AND NEW AVE  LEMONT, IL  60439",135TH AND NEW AVE,LEMONT,60439,,
TIPPECANOE CO,,,,,
PROPERTY NEXT TO   210 E MAIN,,,,,
"110 SOUTH MAIN STREET  BROOKVILLE, IN  47012",110 SOUTH MAIN STREET,BROOKVILLE,47012,,
9336 SR 46,9336 SR 46,,,,
"210 WEST MILL ST  GREENFIELD, IN  HANCOCK",210 WEST MILL ST,GREENFIELD,,,
"878 WEST SMITHSON ROAD  REYNOLDS, IN  47980",878 WEST SMITHSON ROAD,REYNOLDS,47980,,
"I-74 NEAR GERMAN CHURCH RD., EASTBOUND LANE, OVERHEAD WARNING SIGN PILLAR STRUCK, MARION CO.",,,,,
"OLD GYMNASIUM, MAIN ST. AND 2ND ST., NEW MIDDLETOWN, HARRISON CO.",MAIN ST. AND 2ND ST.,NEW MIDDLETOWN,,,
"5645 W. 400 N., POND",5645 W. 400 N.,,,,
"ILLINOIS RIVER/RIVER MILE 287  JOLIET, IL",,JOLIET,,,
"MILE POST 17.5  GLENVIEW, IL",MILE POST 17.5,GLENVIEW,,,
"4250 MILWALKEE AVE  CHICAGO, IL",4250 MILWALKEE AVE,CHICAGO,,,
"SR 64 E   BURNVILLE, IN",,BURNVILLE,,,
"5130 PORT RD  JEFFERSONVILLE, IN  47130  CLARK COUNTY",5130 PORT RD,JEFFERSONVILLE,47130,,
"11021 BROWER ROAD  NORTH BEND, OH",11021 BROWER ROAD,NORTH BEND,,,
"135TH AND NEW AVE  ROCKDALE, IL",135TH AND NEW AVE,ROCKDALE,,,
RAMP S I-69 TO E US 24  FORT WAYNE IN  ALLEN CO,,FORT WAYNE,,,
"5977 CAIRO HICKORY GROVE ROAD  CORYDON, KY",5977 CAIRO HICKORY GROVE ROAD,CORYDON,,,
"4530 BEARING AVE  EAST CHICAGO, IN  46312",4530 BEARING AVE,EAST CHICAGO,46312,,
"3113 NORTH SHORTRIDGE RD  INDIANAPOLIS, IN  46226",3113 NORTH SHORTRIDGE RD,INDIANAPOLIS,46226,,
"3350 W 131ST ST  BLUE ISLAND, IL  60406",3350 W 131ST ST,BLUE ISLAND,60406,,
"5114 CRITTENDEN DRIVE  LOUISVILLE, KY",5114 CRITTENDEN DRIVE,LOUISVILLE,,,
"MILEPOST 271 W  LOUISVILLE, KY",MILEPOST 271 W,LOUISVILLE,,,
"I-70 EAST BOUND, MM 99.4, NORTH SIDE OF INTERSTATE",,,,,
"1000 EAST OHIO  CHICAGO, IL",1000 EAST OHIO,CHICAGO,,,
"1201 RIPLEY ST,  LAKE STATION, IN",1201 RIPLEY ST,LAKE STATION,,,
"2701 E 114ST  CHICAGO, IL",2701 E 114ST,CHICAGO,,,
"4848 RIVER RD  SCHILLER PARK, IL",4848 RIVER RD,SCHILLER PARK,,,
"LOWER CASCADES  OFF OF OLD 37 NEAR COLLEGE AND WALNUT  BLOOMINGTON, IN.",COLLEGE AND WALNUT,BLOOMINGTON,,,
"FLOYD COUNTY  20 JACKSON ST  NEW ALBANY, IN  47150",20 JACKSON ST,NEW ALBANY,47150,,
"5611 S 12000 W RD  HERSCHER, IL  60941",5611 S 12000 W RD,HERSCHER,60941,,
"7 LRHEMA DR  HOMEWOOD, IL",7 LRHEMA DR,HOMEWOOD,,,
"200 SHEPARD AVE  LOCKLAND, OH",200 SHEPARD AVE,LOCKLAND,,,
"1101 ARNOLD STREET  CHICAGO HEIGHTS, IL  60411",1101 ARNOLD STREET,CHICAGO HEIGHTS,60411,,
18100 CUMBERLAND RD  NOBLESVILLE IN  HAMILTON CO,18100 CUMBERLAND RD,NOBLESVILLE,,,
"1108 WASHINGTON AVENUE, WITHIN RAIL YARD.",1108 WASHINGTON AVENUE,,,,
ST JOSEPH COUNTY  SOUTH BEND  LOWES PARKING LOT,,SOUTH BEND,,,
"7597 E HIGHWAY 36   AVON, HENDRICKS",7597 E HIGHWAY 36,AVON,,,
DEKALB CO  CORUNNA  SR 327 AND CR 10,SR 327 AND CR 10,CORUNNA,,,
8200 E 70 WESTBOUND  INDIANAPOLIS  ARION,8200 E 70 WESTBOUND,INDIANAPOLIS,,,
"2600 LANEAR DRIVE, COMPACTOR LOCATED SOUTH SIDE OF BUILDING 2",2600 LANEAR DRIVE,,,,
JACKSON COUNTY,,,,,
"US 31 AND CR 200 S, US 31 MM 42.7",US 31 AND CR 200 S,,,,
"11 WEST ON SR 28  KEMPTON, IN",11 WEST ON SR 28,KEMPTON,,,
"I 70 EB MM 66  PLAINFIELD, IN  HENDRICKS COUNTY",,PLAINFIELD,,,
MM 11 469 WB  FT WAYNE,,FT WAYNE,,,
"FRANKFORT AVE AND OHIO RIVER  LOUISVILLE, KY",FRANKFORT AVE AND OHIO RIVER,LOUISVILLE,,,
"520 BAYOU ST  VINCENNES, IN",520 BAYOU ST,VINCENNES,,,
"MM CD 363.9  WATERLOO, IN.  DE KALB COUNTY",,WATERLOO,,,
"3970 W 10TH ST  INDIANAPOLIS, IN",3970 W 10TH ST,INDIANAPOLIS,,,
"1200 E CROSS ST.  ANDERSON, IN",1200 E CROSS ST.,ANDERSON,,,
"13600 SOUTH HALSTED ST.  RIVERDALE, IL",13600 SOUTH HALSTED ST.,RIVERDALE,,,
10298 S EDGEWATER ST  SILVER LAKE IN  KOSCIUSKO CO,10298 S EDGEWATER ST,SILVER LAKE,,,
"CHERRY STREET CROSSING  BLUFFTON, IN",,BLUFFTON,,,
"820 N WOLCOTT ST.  CHICAGO, IL  60622",820 N WOLCOTT ST.,CHICAGO,60622,,
"500 EAST AND MAIN STREET  WINCHESTER, IN.  RANDOLPH COUNTY",500 EAST AND MAIN STREET,WINCHESTER,,,
"MILE POST AO  CINCINATTI, OH",,CINCINATTI,,,
"251 EAST HURON ST  CHICAGO, IL  60611",251 EAST HURON ST,CHICAGO,60611,,
"US 6, NEAR THE 4700 W BLOCK.",,,,,
"MILEPOST 200W  HUNTINGBURG, IN",,HUNTINGBURG,,,
2 MILES SW OF  LYNNVILLE IN  WARRICK CO,,LYNNVILLE,,,
I-65 S MM 245  CROWN POINT IN  LAKE CO,,CROWN POINT,,,
"25915 SOUTH EAST FRONTAGE RD  CHANNAHON, IL  60410",25915 SOUTH EAST FRONTAGE RD,CHANNAHON,60410,,
PORT OF BURNS HARBOR,,BURNS HARBOR,,,
"US 50 AT SOUTH CR 600 E, EAST OF VERSAILLES",SOUTH CR 600 E,VERSAILLES,,,
WATERCRAFT MILE POST 795 OHIO RIVER,,,,,
"9930 KITTYWOOD DRIVE  BEVIS, OH",9930 KITTYWOOD DRIVE,BEVIS,,,
PORTER COUNTY  250 W US 12  BURNS HARBOR IN,250 W US 12,BURNS HARBOR,,,
"LITTLE RIVER LIGHT/MILEMARKER 634.8  LOUISVILLE, KY",,LOUISVILLE,,,
"1630 WEST HILL ST  LOUISVILLE, KY",1630 WEST HILL ST,LOUISVILLE,,,
"9200 WHITE OAK  MUENSTER, IN.  46321  LAKE COUNTY",9200 WHITE OAK,MUENSTER,46321,,
"4705 JENNINGS LANE  LOUISVILLE, KY",4705 JENNINGS LANE,LOUISVILLE,,,
"96TH ST. AND KEYSTONE AVE.  TOM WOOD FORD LOT  CARMEL,HAMILTON CO.",96TH ST. AND KEYSTONE AVE.,CARMEL,,,
"430 MIEJER DRIVE  LAFAYETTE, IN  47905",430 MIEJER DRIVE,LAFAYETTE,47905,,
1200 REFINERY ROAD,1200 REFINERY ROAD,,,,
1910 LAFAYETTE ROAD  INDIANAPOLIS 46222,1910 LAFAYETTE ROAD,INDIANAPOLIS,46222,,
FULTON CO  ROCHESTER,,ROCHESTER,,,
"4300 CAMP GROUND RD  LOUISVILLE, IN",4300 CAMP GROUND RD,LOUISVILLE,,,
"1707 MULBERRY CIRCLE  NOBLESVILLE, IN  46062",1707 MULBERRY CIRCLE,NOBLESVILLE,46062,,
"MILEPOST OZA 235  VINCENNES, IN",,VINCENNES,,,
"201 BLAIN STREET  GARY, IN.  LAKE COUNTY",201 BLAIN STREET,GARY,,,
"3018 1050 SOUTH  MILROY, IN",3018 1050 SOUTH,MILROY,,,
815 W SR 28  TIPTON IN  TIPTON CO,815 W SR 28,TIPTON,,,
69 WASHINGTON AVE  CICERO IN  HAMILTON CO,69 WASHINGTON AVE,CICERO,,,
"MILEPOST PZA203.6  SULLIVAN, IN",,SULLIVAN,,,
"1163 E CR 1500 N  SUMMITVILLE, IN  MADISON CO",1163 E CR 1500 N,SUMMITVILLE,,,
"1707 BUICK LANE  KOKOMO, IN  6902",1707 BUICK LANE,KOKOMO,6902,,
HANNAH ST YARD  FORT WAYNE IN  ALLEN CO,,FORT WAYNE,,,
"2447 MADISON ST  GARY, IN",2447 MADISON ST,GARY,,,
I 70 WB MM 53.5  MONROVIA,I 70 WB MM 53.5,MONROVIA,,,
"5720 W. WASHINGTON ST  INDIANAPOLIS, IN  46241",5720 W. WASHINGTON ST,INDIANAPOLIS,46241,,
"T INTERSECTION OF CR 150 SOUTH AND JOHN SHAW ROAD  LEBANON, IN.  BOONE COUNTY",CR 150 SOUTH AND JOHN SHAW ROAD,LEBANON,,,
3200 BLOCK OF SR 128 ON THE SOUTH SIDE OF ROAD  FRANKTON,,FRANKTON,,,
"729 COUNTY LINE ROAD  GREENWOOD, IN",729 COUNTY LINE ROAD,GREENWOOD,,,
"4805 SOUTH HARLEM AVE  FOREST VIEW, IL  60402",4805 SOUTH HARLEM AVE,FOREST VIEW,60402,,
"919 PORT ST  ST. JOSEPH, MI",919 PORT ST,ST. JOSEPH,,,
"NORTH OF THE INTERSECTION OF SR 16 AND US 31  DENVER,IN",SR 16 AND US 31,DENVER,,,
"ILLINOIS RIVER MM 299  LEMONT, IL",,LEMONT,,,
"N. 1100 W WEST OF SR32  PARKER CITY,IN",,PARKER CITY,,,
816 E JEFFERSON   ODOR ON 300 S 25 E   TIPTON,816 E JEFFERSON,TIPTON,,,
"25915 SOUTHEAST FRONTAGE ROAD  CHANNAHON, IL  60410",25915 SOUTHEAST FRONTAGE ROAD,CHANNAHON,60410,,
1542 SOUTH 200 WEST   PORTLAND   JAY CO.,1542 SOUTH 200 WEST,PORTLAND,,,
3150 W BERTHA ST,3150 W BERTHA ST,,,,
"7880 SOUTH ARROWHEAD CT  TRAFALGAR, IN  JOHNSON COUNTY",7880 SOUTH ARROWHEAD CT,TRAFALGAR,,,
"ARROW HEAD TRAIL AND THOMPSON RD  INDIANAPOLIS, IN  MARION COUNTY",ARROW HEAD TRAIL AND THOMPSON RD,INDIANAPOLIS,,,
"STURGIS, KY",,STURGIS,,,
PLUM ST,,,,,
"MILEPOST D263  WESTPOINT, IN  TIPPECANOE COUNTY",,WESTPOINT,,,
SR 67 AND 600 S,SR 67 AND 600 S,,,,
"356 THREE RIVERS PKWY  ADDYSTON, OH",356 THREE RIVERS PKWY,ADDYSTON,,,
"LAKE COUNTY  CSX MAIN LINE 1 RUNNING WEST-EAST TO CURTISS STATION  EAST CHICAGO,IN  DC 2.5 MP",,EAST CHICAGO,,,
"701 EAST 2ND STREET  QWENSBORO, KY",701 EAST 2ND STREET,QWENSBORO,,,
"6648 S PERIMETER RD  INDIANAPOLIS, IN  46251",6648 S PERIMETER RD,INDIANAPOLIS,46251,,
"NICHOLS OPERATING  ROSS, OH",,ROSS,,,
"MILEPOST 283W  BUECHEL, KY",,BUECHEL,,,
"9300 GALLUMET AVE  MUNSTER, IN  46321",9300 GALLUMET AVE,MUNSTER,46321,,
LAGRANGE CO  TOPEKA  CORNER OF INDIANA AND ZOOK STREET    LAGRANGE COUNTY,INDIANA AND ZOOK STREET,TOPEKA,,,
"1800 CHURCHMAN AVE  INDIANAPOLIS, IN  46203",1800 CHURCHMAN AVE,INDIANAPOLIS,46203,,
"ROUTE 52 RIVER RD  CINCINNATI, OH",52 RIVER RD,CINCINNATI,,,
1208 BEYER AVE  SOUTH BEND IN  ST JOSEPH CO,1208 BEYER AVE,SOUTH BEND,,,
"498 PARK 800 DRIVE  GREENWOOD, IN.  JOHNSON COUNTY",498 PARK 800 DRIVE,GREENWOOD,,,
I70 148.5 MM EAST BOUND  RICHMOND,,RICHMOND,,,
"FORT WAYNE RAIL YARD  FORT WAYNE, IN",,FORT WAYNE,,,
"I-55 MILEMARKER 288  CHICAGO, IL",I-55 MILEMARKER 288,CHICAGO,,,
CHANNOHON FLEET/ILLINOIS RIVER MILE 279  ILLINOIS,,ILLINOIS,,,
4325 SR 26 E   LAFAYETTE   TIPPECANOE,,LAFAYETTE,,,
86TH  AT WILLIAMS CREEK   INDIANAPOLIS   MARION,,INDIANAPOLIS,,,
"3210 WEST 131ST  BLUE ISLAND, IL",3210 WEST 131ST,BLUE ISLAND,,,
ELKHART CO  ELKHART  WOODLAND APTS.  1100 CLARINET BLVD.,1100 CLARINET BLVD.,ELKHART,,,
702 W INDIANA AVE  SOUTH BEND  ST. JOSEPH,702 W INDIANA AVE,SOUTH BEND,,,
